fen,uci,comment
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/2N2B2/PPPP1PPP/R1BQK1NR w KQkq - 0 7,d2d3,"White needs to develop here. The pawn needs to go to d4 eventually, so reccommended is Nge2 to facilitate castling before his king gets stuck in the center."
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/2NP1B2/PPP2PPP/R1BQK1NR b KQkq - 0 7,b8c6,I might have developed the king knight here instead to speed up castling.
r2qkbnr/1b3ppp/p1npp3/1pp5/4P3/2NP1B2/PPP2PPP/R1BQK1NR w KQkq - 1 8,a2a3,"Again, another wasted move that could be used on development. White is in great danger of getting stuck in the center. Black needs to develop his kingside pieces quickly and break the center open to punish white for his lazy play."
r2qkb1r/1b3ppp/p1nppn2/1pp3B1/4P3/P1NP1B2/1PP2PPP/R2QK1NR b KQkq - 2 9,g7g6,"Here is a change in what I usually play. I usually puts the bishop on e7, which is normal in many sicilian systems, but here I wanted to exploit the fact that the dark long diagonal is wide open, AND that I control the dark central squares. Is this correct judgement, or would it be better with Be7? Be7! I would like to say a few things about g6 (which is a mistake in my view). First, if you notice, there are squares at h6, and f6 that have suddenly become weak. Granted yes, the bishop can protect it, but white can quickly remove the bishop by Qd2 and Black will find it quite difficult to castle. Even if black plays h6, the bishop will have abandoned d6 and when white plays Bf4, that pawn will be under attack, and there will be dark squared weaknesses all around blacks kingside. Second, the Bishop already had a way to get out via e7, which would allow black to castle on the next move. With g6, black has to play Bg7 next, instead of castling, and spend an extra move to castle. Third, the d6 pawn is currently a little backward. It is not yet by definition, but as soon as white plays d4 it will be. Thus it will be a weakness later on. Since Black has played c5, e6, AND Bg7, that pawn is left with only one defender, the queen. The bishop will be left with double duty, to protect the weakened dark squares, and to help protect the d6 pawn (since the queen will be unable to do it by itself, even with one rook under it.) White will be able to pile up his rooks on that file and win the pawn easily. Regarding the control of the long diagonal. This is normally a very good strategy. This particular position though you are mixing two strategies. You mentioned before that it is a Najdorf move to play a6, but now you have adopted a dragon system. First The two systems do not work well together. You should stick with the original plan that you embarked upon which was working quite well for you. Second, the dragon system is effective when white castles queenside and you have an open c file, neither of which you have. So the bishop will have control of that diagonal, yes... but all by itself. It needs to be part of an overall plan, which in a Najdorf it is not if it is on g7. Also as an additional note, there is an interesting tactical idea here that white can try as a retort which is a temporary pawn sac. White can play 10 e5!? right away. The variation would be . ..dxe5 11 Ne4 Be7 12 Bxf6 Bxf6 13 Nxc5 and white will have messed up blacks pawn structure a little, and provided an outpost for his knight on c5."
r2qkb1r/1b3p1p/p1nppnp1/1pp3B1/4P3/P1NP1B2/1PP2PPP/R2QK1NR w KQkq - 0 10,d1d2,"This response I saw on forehand, as it was an obvious reply, whith thre threat of exchanging the darksquared bishops. This is a good move by White."
r2qkb1r/1b3p1p/p1nppnp1/1pp3B1/4P3/P1NP1B2/1PPQ1PPP/R3K1NR b KQkq - 1 10,h7h6,"I think that this was the best way to remove the threat of bishop exchange, as well as giving me control over the long diagonal."
r2qkb1r/1b3p2/p1nppnpp/1pp3B1/4P3/P1NP1B2/1PPQ1PPP/R3K1NR w KQkq - 0 11,g5h4,"Bf4 was probably a little better, beginning to pressure the d6 pawn."
r2qkb1r/1b3p2/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQ1PPP/R3K1NR b KQkq - 1 11,f8g7,"Now, as I have the diagonal, I begin to form attacking plans."
r2qk2r/1b3pb1/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/R3K2R b KQkq - 3 12,e8g8,"This was done, to put more pressure and thrust in the centre, not to safe the king. There was an interesting move order here... the White squared bishop has so little mobility that a two pawn thrust by the g pawn could cause some havoc. Look at the following variation, 12...g5 13. Bg3 g4 14.e5 gxf3 15.exf6 fxg2 (fxe2?? fxg7) 16.Rg1 Bxf6) and Black is up a pawn. -kl"
r2q1rk1/1b3pb1/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/R3K2R w KQ - 4 13,a1b1,"This looked very passive to me. I don't see anything of value whith this move, at this point in the game. It is always of value to try to find the idea of your opponent. The move is most likely a dubious one, but it may be based on a cheapo or a trap, and if you dismiss it, you may miss his cheapo and lose a piece or even the game! Always ask yourself, what is my opponents plan when he makes a move, even if it looks like a ridiculous move. As players and competitors we have a tendency to criticize our opponents moves but not realize that they are making moves that they think make sense and that they think have a perfectly good reason to play. My assessment of this move is that he wants to play b4, to strike at your imposing queenside pawns, and he could not do this with his rook on a1. After Rb1, he can play b4, then cxb4, axb4, and now he can play d4 with out any challenge from your c pawn. I am not saying that this is the BEST plan, but my guess is that is what his move was meant for."
r2q1rk1/1b3pb1/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/1R2K2R b K - 5 13,g8h7,"Here is the beginning of a build up. This move is obvious, since it frees the bishop on g7 for more active duties."
r2q1r2/1b3pbk/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/1R2K2R w K - 6 14,h1g1,"This second rook move seems to me worse than the first. Not only one more waste of good tempo, but also the loss of casteling options. The king is stuck in the centre, and I feel like I have an advantage in the centre at this point. In my opinion White is worse. This rook move seems to begin a g pawn thrust, though it seems unneccesary since the pawn can go on its own. Center control is about even with Black having an ever so slight edge. The thing you should take note of here though is very evident. Whites last move was a gross error. Black has also made an error in not capitolizing on it. There are many factors that contribute to that assessment. Let me explain. White with his last move can now never castle. That is obvious. But the reason that is such an error is that the center is fluid! Blacks move here is not Kh7, but g5 followed by d5! ripping open the center. White's king is hopelessly lost in the center and will never get out, trapped in by his own pieces and pawns. Black has all the fire power he needs available to go right down the d and e files and piledrive the king into oblivion. 14. O-O was definitely called for here."
r2q1r2/1b3pbk/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/1R2K1R1 b - - 7 14,d8c7,Frees the knight.
r4r2/1bq2pbk/p1nppnpp/1pp5/4P2B/P1NP1B2/1PPQNPPP/1R2K1R1 w - - 8 15,h4g3,"An attempt to undermine my centre perhaps. Maybe your opponent finally saw d5! and decided to pin the d pawn to your queen. Since the bishop is no longer doing much on h4, this is a respectable move."
r4r2/1bq2pbk/p1nppnpp/1pp5/4P3/P1NP1BB1/1PPQNPPP/1R2K1R1 b - - 9 15,f8d8,"I might have placed the a8 rook on this file to leave the f8 rook for the e file, lining up your rooks with both his queen and king, since one of these two files are the most likely to open up in the near future but that may just be personal preference."
r2r4/1bq2pbk/p1nppnpp/1pp5/4P3/P1NP1BB1/1PPQNPPP/1R2K1R1 w - - 10 16,h2h3,"Here I wanted to launch my bishop to c3, and take the white queen. I found no clear ways to do so, but that was my plan, so I started to reroute my knight to a4, with the plan of removing the b2 defender. Here is the first major error in judgement that I think you have made in this game. You mentioned that when you castled you wanted to thrust in the center, and now you are talking about taking whites queen, which seems to be diverting from that plan. If white were going to be gracious enough to leave his king on e1 long enough to allow you to set up a very long term plan to do this, this would not be a very good game to analyze. The analysis from what I can see is you are trying to provoke a b3 advance so you can play b4, and hope that he plays axb or something else, and then you can play Bxc3 winning the queen. Coming up with a ""dream position"" as IM Silman calls it is a very good thing to do, but the second thing he mentions is, ""can you realize that plan?"". Here, I do not believe you can, since all white has to do is move his King to f1 and the whole tactic falls apart, and you have to figure out what to do with all the moves you made. Do they serve any other additional purpose? If this tactic is a nice side effect of a long term plan, i.e. ""I am trying to get an outpost for my knight on c4, and white cannot play b3 because he will lose his knight and queen to my bishop."" That would be different. But here the moves will all be for naught when white moves his king off the diagonal. The moves you use toward this tactic would be better used to continue with your original plan (which was quite a good idea) which was after you said you wanted to castle, you wanted to thrust in the center."
r2r4/1bqn1pbk/p1npp1pp/1pp5/4P3/P1NP1BBP/1PPQNPP1/1R2K1R1 w - - 1 17,g3h2,I still don't get the plans of White. White seems that he wants to play g4 and start an attack on the kingside. Not a bad idea since you have removed one of your last defenders of that side of the board.
r2r4/1bqn1pbk/p1npp1pp/1pp5/4P3/P1NP1B1P/1PPQNPPB/1R2K1R1 b - - 2 17,c6d4,"This is just to remove the e2 defender. I understand the reason for your move here based on your comments. I would reccommend Nde5 here. Your knight would be well placed and if white plays Bxe5, you play Nxe5 replacing the knight, and you have a very well placed piece and have frozen the white e pawn, thus allowing you to start to open the d file with the thrust d5."
r2r4/1bqn1pbk/p2pp1pp/1pp5/3nP3/P1NP1B1P/1PPQNPPB/1R2K1R1 w - - 3 18,e2d4,Did you look at cxd4 here? 18...cxd4 19.Ne2 Rdc8 piling up on the newly opened c file with a very nice position for Black.
r2r4/1bqn1p1k/p2pp1pp/1pp5/3bP3/P1NP1B1P/1PPQ1PPB/1R2K1R1 w - - 0 19,c3e2,"This seems very logical, to drive away my bishop, and to protect the c3 square once more."
r2r4/1bqn1pbk/p2pp1pp/1pp5/4P1P1/P2P1B1P/1PPQNP1B/1R2K1R1 b - - 0 20,d7b6,"I still try to provoke some weakness in the queenside, and I want this done by putting the knight on a4. Indirectly this is a good move, not because of Na4 but because it controls d5 and will help in the d5 push. I would not be aiming for a4 so much as c4 which is a terrific square if you can win it."
r2r4/1bq2pbk/p2pp1pp/1pp5/n3P1P1/P1PP1B1P/1P1QNP1B/1R2K1R1 w - - 1 22,e1f1,"Now, as the king has moved off from behind the queen, I want to open the centre. The center needed to be opened when the king was still on the e file, now the king has a little more safety and if need be can escape to g2."
r2r4/1b2qpbk/p2pp1pp/1pp5/n3P1P1/P1PP1B1P/1P1QNP1B/1R3KR1 w - - 3 23,h2g3,To prepare h4.
2rr4/1b2qpbk/p2pp1pp/1pp5/n3P1P1/P1PP1BBP/1P1QNP2/1R3KR1 w - - 5 24,h3h4,"Kingside storm, but maybe a little late."
2rr4/1b2qpbk/p3p1pp/1ppp4/n3P1PP/P1PP1BB1/1P1QNP2/1R3KR1 w - - 0 25,e4e5,"Since the pawn will not get support from the d-pawn, I think that this was a slight error. On the contrary, opening the center with his king in the middle would have been more of an error."
2rr4/1b2qpbk/p3p1pp/1pp1P3/n2p2PP/P1PP1BB1/1P1QNP2/1R3KR1 w - - 0 26,f3b7,Forced.
2rr4/1q3pbk/p3p1pp/1pp1P3/n2p2PP/P1PP2B1/1P1QNP2/1R3KR1 w - - 0 27,b2b3,"And here my opponent does a severe error, and I can make my breakthrough."
2rr4/1q3pbk/p3p1pp/1pp1P3/6PP/PPQP2B1/5P2/1R3KR1 b - - 0 29,b7f3,Good move. Taking advantage of the pin on the d pawn and penetrating into the king position. White is lost here and should resign.
2rr4/5pbk/p3p1pp/1pp1P3/6PP/PP1P1qB1/5P2/1R2QKR1 b - - 2 30,d8d3,"In my opinion this was better than Qxd3+ in several aspects. I now threatens to capture the b3 pawn, and I can double my rooks on the d-file."
2r5/5pbk/p3p1pp/1pp1P3/6PP/PP1r1qB1/5P2/1R2QKR1 w - - 0 31,e1e2,Rxb3!
2r5/5pbk/p3p1pp/1ppqP3/6PP/PP1r2B1/4QP2/1R3KR1 w - - 2 32,e2c2,"Another error. This defense does not seem to fend off the black attacks. After this move, there are many lines to consider, but I have found none that can save white's game. This game was over moves ago."
2r5/5pbk/p3p1pp/1ppqP3/6PP/PP1r2B1/2Q2P2/1R3KR1 b - - 3 32,c8d8,I can see no proper defence here. I would certainly appreciate if a strong player can find any reasonable escape for white. White has dug himself such a hole that not even Kasparov could defend this position unless black starts to play silly moves.
3r4/5pbk/p3p1pp/1ppqP3/6PP/PP1r2B1/2Q2P2/1R3KR1 w - - 4 33,f2f4,"And by doing this, the White Queen is lost."
3r4/5pbk/p3p1pp/1ppqP3/5PPP/PP1r2B1/2Q5/1R3KR1 b - - 0 33,d5f3,"Here my opponent sees what's coming, and resigns. Now, at the end, I wonder how this game looked like for a stronger player. How would you have played to give black more trouble? Or even more interesting, how would you have played as black? Overall I think you played fairly well and had some good ideas. I think you strayed a little with the Na4 idea and I think the Bg7 idea was inconsistent with a Najdorf setup. Your opponent did not give you much of a fight, thus I think you should submit a game that you lost and do not know why rather than a game that you beat an opponent who did not give you much trouble. You will learn much more from analyzing your mistakes and losses then you will from your wins."
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e7e5,"The Englund Gambit. Psychologically, it's interesting for Black, you're right. But on the board, this gambit seems a bit incorrect. White can play naturally and hold the pawn. There are other gambits after 1.d4 which are better: the gambit benko, budapest or the Albin counter gambit, and so on..."
r1bqkbnr/pppp1ppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 3,f7f6,"working on the asumption that most 1.d4 players are cowards (!), this gives a nice open game at the cost of a P which can be regained if White doesn't want to face an attack. Best for White is probably 4. e4, but 1.d4 players don't like to play that."
r1bqkb1r/pppp2pp/2n2n2/8/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 5,g2g3,"This is too slow. 5. Bg5 is obvious and good. I'm not so sure. White has now a very solid position. Of course 5.Bg5 is good, but the move played here seems good too."
r1bqkb1r/pppp2pp/2n2n2/8/8/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 5,d7d5,"I prefer here 5...Bc5, which developps more quickly."
r1bqkb1r/ppp3pp/2n2n2/3p4/8/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 6,c2c3,I don't see the point of this move. 6. Bg2 was logical.
r1bq1rk1/ppp3pp/2n2n2/2bp4/8/2P2NP1/PP2PPBP/RNBQ1RK1 b - - 4 8,d8e8,"I prefer the plan with Bf5, Qd7 and then Bh3. The manoeuver Qe8-h5 is interesting indeed but perhaps a little slow. But I can not blame you, due to the position you obtained in this game! The plan involving Qd8-e8-h5 is often played in the Dutch defense, for your information."
r1b1qrk1/ppp3pp/2n2n2/2bp4/5B2/2P2NP1/PP2PPBP/RN1Q1RK1 b - - 6 9,e8h5,"White's development has been routine. He is now in a passive position, and Black seizes the initiative."
r1b2rk1/ppp3pp/2n2n2/2bp3q/5B2/2P2NP1/PP2PPBP/RN1Q1RK1 w - - 7 10,f4c7,"another pawn? Sure, help yourself. He doesn't have time for this. Black definitely has enough attack for two Ps here."
r4rk1/ppB3pp/2n5/2bp3q/6n1/2P2NPb/PP1NPPBP/R2Q1RK1 w - - 3 12,g2h3,"swapping his white-square B can't be right. Black has a fine attack here, the price White has paid for following his pet scheme of development regardless of the moves his opponent played. Already, mate at h2 is in the air. I'm according with you. 12.Bxh3 is a very surprising move, a sort of computer move: White plays to win material in a position where he should think about defence..."
r4rk1/pp2n1pp/8/2bp4/5Bn1/1QP2NPq/PP1NPP1P/R4RK1 b - - 3 14,h7h6,"not the best. Why not simply Rxf4 at once? See note to 17th. Alternatively, I could break the pin on the d-pawn with Rf7, followed by Raf8, then g5 (without prep. h6) wins the B or forces mate after the double N capture on f3. This is here one the most critical position of the game. I tried to analyse it. Black has here two interesting moves: 14...Rf7, with the idea of doubling the rooks on the f file (breaking the pin on the d-pawn is no really important) and 14... Rf5 with the idea of doubling too the rooks on f file and perhaps transferring the Rf5 on h5. Let's look some concrete variations:"
r4rk1/pp2n1p1/7p/1Q1P4/3b1Bn1/5NPq/PP1NPP1P/R4RK1 b - - 0 17,f8f4,"this works, except in one variation. White has a neat defensive resource -- see move 21. The idea is simply if 18. gxf4 Ng6-h4 and mate on g2 or h2 cannot be avoided."
6k1/p3Q1p1/7p/3P4/3b2n1/5rPq/PP2PP1P/R4RK1 w - - 0 21,e7h4,"I missed this, or rather, I saw it too late. Now Black must swap Qs, which kills his attack."
6k1/p5p1/7p/3P4/3b3P/8/PP2Pn1P/R5K1 w - - 0 24,g1g2,"assessme nt time. A difficult endgame for both sides. White's central passed pawns look formidable, but I was hoping to blockade them. And then, White was down to about 20 secs on the clock, while I had plenty of time. yes, This endgame is quite difficult to assess. But Black has some chances to save the game. h4 is weak and d5 could become weak too."
6k1/p5p1/7p/3P4/3b3P/8/PP2PnKP/R7 b - - 1 24,g8f7,Now it's all over -- for Black! I think I'm right in saying the ending now has no drawing possibilities for Black. no comment...
8/4k1p1/6R1/3P1K1p/4P2P/p6P/Pb6/8 w - - 2 36,e4e5,"Black resigns. A good game of attack. Very tactical. Remember the 14th move: When you're attacking you've to use all your pieces (here: doubling the rooks). Remember too the manoeuver Rf8-f5-h5. This sort of switch is quite common during an attack on a castled king (for example, with White: Rf1-f3-h3). Another thing that I want to say: your very bad 24th move is not really surprising. All your game, from the beginning, was attack, attack, attack. Suddenly, you're in a complex ending. In such a change, be careful. Stay calm, think a long time, and change your mind: you're in an ending, no more in a tactical attack. You must be ready for that."
rn1qkbnr/ppp1pp1p/3p2p1/8/3PP1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,f1c4,"Not sure if Bc4 was the ""correct move"" but it seems ok to me The opening scheme choosen by Black is open to several continuations. The ""correct move"", the one and only doesn't exist. There are many playable moves (Nc3, Be3, c3, Bd3, Be2) and Bc4 is one of them."
r2qkb1r/ppp2p1p/2np1np1/3Pp3/2B1P1b1/2N1BN2/PPP2PPP/R2QK2R b KQkq - 0 7,c6e7,I had expected Na5 but after he made the move I noticed that his move was stronger than what I expected The move choosen by Black is definitely the best possible continuation. The move that you were expecting is weaker due to the variation
r2qk2r/pppbnpbp/3p1np1/3Pp3/2B1P3/2N1BN1P/PPP2PP1/R2Q1RK1 w kq - 1 10,f3d2,"I decided to follow his knight idea I would have preferred 10.Qd2 welcoming the Black castling with 11.Bh6, trading off the Dark-square bishop. In this position the center is firmly blocked: White must choose his plan among a queen-side pawn storm (preparing c4, b4, and then c5, better with Rooks in b1 and c1) and a King attack, whose the first step is to remove the bishop in g7 (in order to create ""holes"" around the black king). The Knight in d2 doesn't suite neither the first plan nor the second. Another possibility could have been Ne1, leaving the square d2 for the queen and keeping both plans possible. From e1 the Knight can go later in d3, controlling the point c5, or come back in f3 after the push in f4 (trying to open lines against the enemy king)"
r2q1rk1/pppbnpbp/3p1np1/3Pp3/2B1P3/2N1B2P/PPPN1PP1/R2Q1RK1 w - - 3 11,d1f3,I can't see any purpose for this move. The only reasonable plan for black in this position involves the attack to the pawn chain with f5 (of course firt removing the Knight in f6). After this move the queen looks somewhat silly facing the happy black rook in f8. White is playing without a plan.
r2q1rk1/pppbnpbp/3p1np1/3Pp3/2B1P3/2N1BQ1P/PPPN1PP1/R4RK1 b - - 4 11,f6e8,Starting the standard plan in similar schemes
r2qnrk1/pppbnpbp/3p2p1/3Pp3/2B1P3/2N1BQ1P/PPPN1PP1/R4RK1 w - - 5 12,a2a3,"another waste of time. Better was Qe2, in order to meet the black push in f5 with the push in f3 (holding the center)"
r2qnrk1/pppbn1bp/3p2p1/3Pp1B1/2B1Q3/P1N4P/1PPN1PP1/R4RK1 b - - 0 14,d7f5,"Let's have a look on what white get after having put his Queen in ""f3"". Black has a confortable development, the ""f"" line is opened, the ""e5"" pawn has no opponent in front of him and in some variations is free to advance creating threats along the h8-a1 diagonal. And White? I'm afraid White has nothing but the ""e4"" square. Any white activity on the queenside is far from easy now."
r2qnrk1/ppp1n1bp/3p2p1/3PpbB1/2B1Q3/P1N4P/1PPN1PP1/R4RK1 w - - 1 15,e4h4,"I felt I had a stronger position here still My feeling is different, as I told in my previous note. After defending the Knight, Black is OK"
r2qnrk1/ppp1n2p/3p1bp1/3PpbB1/2B4Q/P1N4P/1PPN1PP1/R4RK1 w - - 3 16,f2f4,I played this with the idea of making my rooks more active
r2qnrk1/ppp1n2p/3p1bp1/3PpbB1/2B2P1Q/P1N4P/1PPN2P1/R4RK1 b - - 0 16,e5f4,A safe way to proceed! Risky was 16...Bxc2. See the variations.
r2qnrk1/ppp1n2p/3p1bp1/3P1bB1/2B2p1Q/P1N4P/1PPN2P1/R4RK1 w - - 0 17,a1c1,"In my opinion this is a very passive move. Better would have been 17.Nde4, putting the Knight in an active square and reserving the Rook for a more active place (for instance in ""e1""). You opened lines for your Rooks with ""f4"" and now you played a Rook passive move. This sound strange, do you agree?"
r2q1rk1/ppp1n2p/3p1np1/3P1b2/2B2Q2/P1N4P/1PPN2P1/2R2RK1 b - - 0 19,f6d7,"The activity of black pieces increases move by move. Now the Knight is ready to jump in ""e5"" and the bishop in ""f5"" is ready to move anywhere because of the X-ray attack to the queen. Black is better. He reached this position playing natural moves. This means that the White plan started with 11.Qf3 is deficitary."
r2q1rk1/pppnn2p/3p2p1/3P1b2/2BQ4/P1N4P/1PPN2P1/2R2RK1 b - - 2 20,g6g5,Black frees a square for the Bishop. 21.g4 was the threat. However I would have preferred Ne5
r2q1rk1/pppnn2p/3p4/3P1bp1/2B5/P1N1Q2P/1PPN2P1/2R2RK1 b - - 1 21,e7c8,"This is a consequence of 20...., g5. Now ""c8"" is the only Knight retreat if black want to defend the g5 pawn. Looks poor to me, because the knight become passive."
r1nq1rk1/pppn4/3p3p/3P1bp1/2B1N1P1/P3Q2P/1PPN4/2R2RK1 b - - 0 23,f5g6,"I had been expecting him to take the knight Black keeps the Bishop because is the most useful piece for controlling the ""e6"" and ""f5"" squares, the only weaknesses of Black position. Furthermore, The Black bishop actually is the Black minor piece best placed. No reason for trade it off."
r1nq1rk1/pppn4/3p2bp/3P2p1/2B1N1P1/P3Q2P/1PPN4/2R2RK1 w - - 1 24,f1f8,"Why? There's no hurry to trade pieces! After the last black's inaccurate moves the balance is equal again . White can play for activate his pieces. How about to put a knight in ""f5"" (Ne4-g3-f5)? If black trade it off, a free pawn arises...."
r1n3k1/pppn2q1/3p2bp/3P2p1/2B1N1P1/P3Q2P/1PPN4/5RK1 w - - 2 26,c4b5,"This move gives Black a chance to repost his poorly placed ""c8"" knight. Better would have been 26.c3, with multiple purposes: defend ""b2"", control ""d4"" where a Knight can come and pressure ""f5"" and ""e6"", and remove the pawn from ""c2"" where is under fire of the Bishop in ""g6"""
r5k1/pppn2q1/1n1p2bp/1B1P2p1/4N1P1/P3Q2P/1PPN4/5RK1 w - - 4 27,b5d7,"The worst piece of black, the Knight in ""b6"" has disappeared. The white Bishop has disappeared too, but the trade favours Black, that is definitely better now."
r5k1/pppn2q1/3p2bp/3P2p1/1P2N1P1/P3Q2P/2PN4/5RK1 b - - 0 28,g7e5,"Centralizing the Queen. In such an engame the piece activity and centralization is the best plan one can look for. Black can exert a noisy pressure on the ""e"" column and on the pinned ""e4"" knight now."
4r1k1/pppn4/3p2bp/3Pq1p1/1PP1N1P1/P3Q2P/3N4/4R1K1 b - - 2 30,d7f6,Kg7 was clearly better. After the text move White can free himself with a check from the strong black attack
6k1/ppp5/3p2bp/3P2p1/1PP3P1/P1q4P/3N4/4Q1K1 w - - 1 34,g1g2,"Right here I knew I was gonna lose Almost. You can still search some activity giving a check in ""e6"" with the queen"
6k1/ppp5/3p2bp/3P2p1/1PP3P1/q6P/3N2K1/4Q3 w - - 0 35,b4b5,"The position is near to be lost for white, but in a live game may be useful to put problems to the opponent instead to making a passive defence. Look the variation (maybe incorrect, I want only to show you how to fight for the activity)"
6k1/ppp5/3p2b1/1P1P2pP/2P5/3q3P/3N1QK1/8 b - - 0 37,g6h5,Black's pieces are too active. White is lost.
8/pppk4/3p4/1P1P2N1/2PK4/8/8/5b2 b - - 2 48,c7c6,"White resigns I knew I was gonna lose here so I gave up I'll be probably wrong, but I think you were playing this game being too much afraid of your stronger opponent and looking for a draw. Let me say one thing: play against the position, not against you opponent! Human usually make mistakes, Kasparov too. If you play a stronger opponent, let him to demonstrate that he's really the best! {*****Copyright freechess.org ***** Use this file for personal use only."
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,"This is so called NIMZO-LARSEN ATTACK. All what i have to say this opening is a) White has ""no"" advantage in the Nimzo-Larsen b) Anyone who likes to win their games in the opening should play other systems."
r1bqk1nr/ppp2ppp/2nb4/1B1pp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 2 5,f2f4,if black plays exf4 then of course Bxg7.
r1bqk1nr/ppp2ppp/2nb4/1B1pp3/5P2/1P2P3/PBPP2PP/RN1QK1NR b KQkq - 0 5,d8e7,Almost always is played 7. - Qh4+ 8.g3 Qe7 etc.
